id(PK),email(UK),phone(UK),name,track(NN),background,history,pretest,github,status,round
1,jungle0000001@apply.kr,010-0000-0001,김민준,sw_ai_lab,student,major_cs_grade_1,59,gh_0000001,submitted,2026_spring
2,jungle0000002@apply.kr,010-0000-0002,이민준,game_lab,student,major_cs_grade_1,85,gh_0000002,interview_wait,2026_spring
3,jungle0000003@apply.kr,010-0000-0003,박민준,game_tech_lab,student,major_cs_grade_1,45,gh_0000003,final_wait,2026_spring
4,jungle0000004@apply.kr,010-0000-0004,최민준,sw_ai_lab,student,major_software_grade_1,71,gh_0000004,final_wait,2026_spring
5,jungle0000005@apply.kr,010-0000-0005,정민준,game_lab,student,major_software_grade_1,97,gh_0000005,final_wait,2026_spring
6,jungle0000006@apply.kr,010-0000-0006,강민준,game_tech_lab,student,major_software_grade_1,57,gh_0000006,submitted,2026_spring
7,jungle0000007@apply.kr,010-0000-0007,조민준,sw_ai_lab,student,major_ai_grade_1,83,none,interview_wait,2026_spring
8,jungle0000008@apply.kr,010-0000-0008,윤민준,game_lab,student,major_ai_grade_2,43,gh_0000008,rejected,2026_spring
9,jungle0000009@apply.kr,010-0000-0009,장민준,game_tech_lab,student,major_ai_grade_2,69,gh_0000009,pretest_pass,2026_spring
10,jungle0000010@apply.kr,010-0000-0010,임민준,sw_ai_lab,student,major_game_grade_2,95,gh_0000010,final_wait,2026_spring
11,jungle0000011@apply.kr,010-0000-0011,한민준,game_lab,student,major_game_grade_2,55,gh_0000011,submitted,2026_spring
12,jungle0000012@apply.kr,010-0000-0012,오민준,game_tech_lab,student,major_game_grade_2,81,gh_0000012,interview_wait,2026_spring
13,jungle0000013@apply.kr,010-0000-0013,서민준,sw_ai_lab,student,major_math_grade_2,41,gh_0000013,rejected,2026_spring
14,jungle0000014@apply.kr,010-0000-0014,신민준,game_lab,student,major_math_grade_2,67,none,pretest_pass,2026_spring
15,jungle0000015@apply.kr,010-0000-0015,권민준,game_tech_lab,student,major_math_grade_3,93,gh_0000015,final_wait,2026_spring
16,jungle0000016@apply.kr,010-0000-0016,황민준,sw_ai_lab,student,major_physics_grade_3,53,gh_0000016,final_wait,2026_spring
17,jungle0000017@apply.kr,010-0000-0017,안민준,game_lab,student,major_physics_grade_3,79,none,pretest_pass,2026_spring
18,jungle0000018@apply.kr,010-0000-0018,송민준,game_tech_lab,student,major_physics_grade_3,39,gh_0000018,rejected,2026_spring
19,jungle0000019@apply.kr,010-0000-0019,전민준,sw_ai_lab,student,major_stats_grade_3,65,gh_0000019,pretest_pass,2026_spring
20,jungle0000020@apply.kr,010-0000-0020,홍민준,game_lab,student,major_stats_grade_3,91,gh_0000020,final_wait,2026_spring
21,jungle0000021@apply.kr,010-0000-0021,김민연,game_tech_lab,student,major_stats_grade_3,51,none,submitted,2026_spring
22,jungle0000022@apply.kr,010-0000-0022,이민연,sw_ai_lab,student,major_design_grade_4,77,gh_0000022,final_wait,2026_spring
23,jungle0000023@apply.kr,010-0000-0023,박민연,game_lab,student,major_design_grade_4,37,gh_0000023,rejected,2026_spring
24,jungle0000024@apply.kr,010-0000-0024,최민연,game_tech_lab,student,major_design_grade_4,63,none,submitted,2026_spring
25,jungle0000025@apply.kr,010-0000-0025,정민연,sw_ai_lab,student,major_ee_grade_4,89,gh_0000025,interview_wait,2026_spring
26,jungle0000026@apply.kr,010-0000-0026,강민연,game_lab,student,major_ee_grade_4,49,gh_0000026,rejected,2026_spring
27,jungle0000027@apply.kr,010-0000-0027,조민연,game_tech_lab,student,major_ee_grade_4,75,gh_0000027,pretest_pass,2026_spring
28,jungle0000028@apply.kr,010-0000-0028,윤민연,sw_ai_lab,student,major_business_grade_4,35,gh_0000028,rejected,2026_spring
29,jungle0000029@apply.kr,010-0000-0029,장민연,game_lab,student,major_business_grade_1,61,gh_0000029,final_wait,2026_spring
30,jungle0000030@apply.kr,010-0000-0030,임민연,game_tech_lab,student,major_business_grade_1,87,gh_0000030,interview_wait,2026_spring
31,jungle0000031@apply.kr,010-0000-0031,한민연,sw_ai_lab,student,major_english_grade_1,47,none,rejected,2026_spring
32,jungle0000032@apply.kr,010-0000-0032,오민연,game_lab,student,major_english_grade_1,73,gh_0000032,final_wait,2026_spring
33,jungle0000033@apply.kr,010-0000-0033,서민연,game_tech_lab,student,major_english_grade_1,99,gh_0000033,final_pass,2026_spring
34,jungle0000034@apply.kr,010-0000-0034,신민연,sw_ai_lab,student,major_biology_grade_1,59,gh_0000034,submitted,2026_spring
35,jungle0000035@apply.kr,010-0000-0035,권민연,game_lab,student,major_biology_grade_1,85,gh_0000035,interview_wait,2026_spring
36,jungle0000036@apply.kr,010-0000-0036,황민연,game_tech_lab,student,major_biology_grade_2,45,gh_0000036,final_wait,2026_spring
37,jungle0000037@apply.kr,010-0000-0037,안민연,sw_ai_lab,student,major_cs_grade_2,71,gh_0000037,pretest_pass,2026_spring
38,jungle0000038@apply.kr,010-0000-0038,송민연,game_lab,student,major_cs_grade_2,97,none,final_wait,2026_spring
39,jungle0000039@apply.kr,010-0000-0039,전민연,game_tech_lab,student,major_cs_grade_2,57,gh_0000039,submitted,2026_spring
40,jungle0000040@apply.kr,010-0000-0040,홍민연,sw_ai_lab,student,major_software_grade_2,83,gh_0000040,interview_wait,2026_spring
41,jungle0000041@apply.kr,010-0000-0041,김민후,game_lab,student,major_software_grade_2,43,gh_0000041,rejected,2026_spring
42,jungle0000042@apply.kr,010-0000-0042,이민후,game_tech_lab,student,major_software_grade_2,69,gh_0000042,pretest_pass,2026_spring
43,jungle0000043@apply.kr,010-0000-0043,박민후,sw_ai_lab,student,major_ai_grade_3,95,gh_0000043,final_wait,2026_spring
44,jungle0000044@apply.kr,010-0000-0044,최민후,game_lab,student,major_ai_grade_3,55,gh_0000044,final_wait,2026_spring
45,jungle0000045@apply.kr,010-0000-0045,정민후,game_tech_lab,student,major_ai_grade_3,81,none,interview_wait,2026_spring
46,jungle0000046@apply.kr,010-0000-0046,강민후,sw_ai_lab,student,major_game_grade_3,41,gh_0000046,rejected,2026_spring
47,jungle0000047@apply.kr,010-0000-0047,조민후,game_lab,student,major_game_grade_3,67,gh_0000047,pretest_pass,2026_spring
48,jungle0000048@apply.kr,010-0000-0048,윤민후,game_tech_lab,student,major_game_grade_3,93,gh_0000048,final_wait,2026_spring
49,jungle0000049@apply.kr,010-0000-0049,장민후,sw_ai_lab,student,major_math_grade_3,53,gh_0000049,submitted,2026_spring
50,jungle0000050@apply.kr,010-0000-0050,임민후,game_lab,student,major_math_grade_4,79,gh_0000050,pretest_pass,2026_spring
51,jungle0000051@apply.kr,010-0000-0051,한민후,game_tech_lab,student,major_math_grade_4,39,gh_0000051,rejected,2026_spring
52,jungle0000052@apply.kr,010-0000-0052,오민후,sw_ai_lab,student,major_physics_grade_4,65,none,pretest_pass,2026_spring
53,jungle0000053@apply.kr,010-0000-0053,서민후,game_lab,student,major_physics_grade_4,91,gh_0000053,final_wait,2026_spring
54,jungle0000054@apply.kr,010-0000-0054,신민후,game_tech_lab,student,major_physics_grade_4,51,gh_0000054,submitted,2026_spring
55,jungle0000055@apply.kr,010-0000-0055,권민후,sw_ai_lab,student,major_stats_grade_4,77,none,pretest_pass,2026_spring
56,jungle0000056@apply.kr,010-0000-0056,황민후,game_lab,student,major_stats_grade_4,37,gh_0000056,final_wait,2026_spring
57,jungle0000057@apply.kr,010-0000-0057,안민후,game_tech_lab,student,major_stats_grade_1,63,gh_0000057,submitted,2026_spring
58,jungle0000058@apply.kr,010-0000-0058,송민후,sw_ai_lab,student,major_design_grade_1,89,gh_0000058,interview_wait,2026_spring
59,jungle0000059@apply.kr,010-0000-0059,전민후,game_lab,student,major_design_grade_1,49,gh_0000059,rejected,2026_spring
60,jungle0000060@apply.kr,010-0000-0060,홍민후,game_tech_lab,student,major_design_grade_1,75,gh_0000060,final_wait,2026_spring
61,jungle0000061@apply.kr,010-0000-0061,김민윤,sw_ai_lab,student,major_ee_grade_1,35,gh_0000061,rejected,2026_spring
62,jungle0000062@apply.kr,010-0000-0062,이민윤,game_lab,student,major_ee_grade_1,61,none,submitted,2026_spring
63,jungle0000063@apply.kr,010-0000-0063,박민윤,game_tech_lab,newgrad,major_ee_graduate,87,gh_0000063,interview_wait,2026_spring
64,jungle0000064@apply.kr,010-0000-0064,최민윤,sw_ai_lab,newgrad,major_business_graduate,47,gh_0000064,rejected,2026_spring
65,jungle0000065@apply.kr,010-0000-0065,정민윤,game_lab,newgrad,major_business_graduate,73,gh_0000065,pretest_pass,2026_spring
66,jungle0000066@apply.kr,010-0000-0066,강민윤,game_tech_lab,newgrad,major_business_graduate,99,gh_0000066,final_pass,2026_spring
67,jungle0000067@apply.kr,010-0000-0067,조민윤,sw_ai_lab,newgrad,major_english_graduate,59,gh_0000067,submitted,2026_spring
68,jungle0000068@apply.kr,010-0000-0068,윤민윤,game_lab,newgrad,major_english_graduate,85,gh_0000068,interview_wait,2026_spring
69,jungle0000069@apply.kr,010-0000-0069,장민윤,game_tech_lab,newgrad,major_english_graduate,45,gh_0000069,final_wait,2026_spring
70,jungle0000070@apply.kr,010-0000-0070,임민윤,sw_ai_lab,newgrad,major_biology_graduate,71,gh_0000070,final_wait,2026_spring
71,jungle0000071@apply.kr,010-0000-0071,한민윤,game_lab,newgrad,major_biology_graduate,97,gh_0000071,final_wait,2026_spring
72,jungle0000072@apply.kr,010-0000-0072,오민윤,game_tech_lab,newgrad,major_biology_graduate,57,gh_0000072,final_wait,2026_spring
73,jungle0000073@apply.kr,010-0000-0073,서민윤,sw_ai_lab,newgrad,major_cs_graduate,83,gh_0000073,interview_wait,2026_spring
74,jungle0000074@apply.kr,010-0000-0074,신민윤,game_lab,newgrad,major_cs_graduate,43,gh_0000074,final_wait,2026_spring
75,jungle0000075@apply.kr,010-0000-0075,권민윤,game_tech_lab,incumbent,backend_1y,69,gh_0000075,pretest_pass,2026_spring
76,jungle0000076@apply.kr,010-0000-0076,황민윤,sw_ai_lab,incumbent,frontend_1y,95,gh_0000076,final_wait,2026_spring
77,jungle0000077@apply.kr,010-0000-0077,안민윤,game_lab,incumbent,frontend_1y,55,gh_0000077,submitted,2026_spring
78,jungle0000078@apply.kr,010-0000-0078,송민윤,game_tech_lab,incumbent,frontend_2y,81,gh_0000078,final_wait,2026_spring
79,jungle0000079@apply.kr,010-0000-0079,전민윤,sw_ai_lab,incumbent,frontend_2y,41,gh_0000079,final_wait,2026_spring
80,jungle0000080@apply.kr,010-0000-0080,홍민윤,game_lab,incumbent,frontend_2y,67,gh_0000080,pretest_pass,2026_spring
81,jungle0000081@apply.kr,010-0000-0081,김민린,game_tech_lab,incumbent,data_2y,93,gh_0000081,final_wait,2026_spring
82,jungle0000082@apply.kr,010-0000-0082,이민린,sw_ai_lab,incumbent,data_2y,53,gh_0000082,submitted,2026_spring
83,jungle0000083@apply.kr,010-0000-0083,박민린,game_lab,incumbent,data_2y,79,gh_0000083,pretest_pass,2026_spring
84,jungle0000084@apply.kr,010-0000-0084,최민린,game_tech_lab,incumbent,data_2y,39,gh_0000084,rejected,2026_spring
85,jungle0000085@apply.kr,010-0000-0085,정민린,sw_ai_lab,incumbent,data_2y,65,gh_0000085,pretest_pass,2026_spring
86,jungle0000086@apply.kr,010-0000-0086,강민린,game_lab,incumbent,infra_2y,91,gh_0000086,final_wait,2026_spring
87,jungle0000087@apply.kr,010-0000-0087,조민린,game_tech_lab,switcher,marketer_7y,51,gh_0000087,submitted,2026_spring
88,jungle0000088@apply.kr,010-0000-0088,윤민린,sw_ai_lab,switcher,marketer_7y,77,gh_0000088,pretest_pass,2026_spring
89,jungle0000089@apply.kr,010-0000-0089,장민린,game_lab,switcher,marketer_7y,37,gh_0000089,final_wait,2026_spring
90,jungle0000090@apply.kr,010-0000-0090,임민린,game_tech_lab,switcher,marketer_7y,63,gh_0000090,final_wait,2026_spring
91,jungle0000091@apply.kr,010-0000-0091,한민린,sw_ai_lab,switcher,pm_7y,89,gh_0000091,interview_wait,2026_spring
92,jungle0000092@apply.kr,010-0000-0092,오민린,game_lab,switcher,pm_8y,49,gh_0000092,rejected,2026_spring
93,jungle0000093@apply.kr,010-0000-0093,서민린,game_tech_lab,switcher,pm_8y,75,none,pretest_pass,2026_spring
94,jungle0000094@apply.kr,010-0000-0094,신민린,sw_ai_lab,switcher,pm_8y,35,gh_0000094,rejected,2026_spring
95,jungle0000095@apply.kr,010-0000-0095,권민린,game_lab,switcher,pm_8y,61,gh_0000095,final_wait,2026_spring
96,jungle0000096@apply.kr,010-0000-0096,황민린,game_tech_lab,selftaught,bootcamp_36m,87,gh_0000096,interview_wait,2026_spring
97,jungle0000097@apply.kr,010-0000-0097,안민린,sw_ai_lab,selftaught,bootcamp_36m,47,gh_0000097,rejected,2026_spring
98,jungle0000098@apply.kr,010-0000-0098,송민린,game_lab,selftaught,bootcamp_36m,78,gh_0000098,pretest_pass,2026_spring
99,jungle0000099@apply.kr,010-0000-0099,전민린,game_tech_lab,selftaught,bootcamp_36m,38,gh_0000099,final_wait,2026_spring
100,jungle0000100@apply.kr,010-0000-0100,홍민린,sw_ai_lab,selftaught,bootcamp_36m,64,gh_0000100,submitted,2026_spring
101,jungle0000101@apply.kr,010-0000-0101,김민민,game_lab,student,major_business_grade_3,90,gh_0000101,final_wait,2026_spring
102,jungle0000102@apply.kr,010-0000-0102,이민민,game_tech_lab,student,major_business_grade_3,50,gh_0000102,final_wait,2026_spring
103,jungle0000103@apply.kr,010-0000-0103,박민민,sw_ai_lab,student,major_english_grade_3,76,gh_0000103,pretest_pass,2026_spring
104,jungle0000104@apply.kr,010-0000-0104,최민민,game_lab,student,major_english_grade_3,36,gh_0000104,rejected,2026_spring
105,jungle0000105@apply.kr,010-0000-0105,정민민,game_tech_lab,student,major_english_grade_3,62,gh_0000105,submitted,2026_spring
106,jungle0000106@apply.kr,010-0000-0106,강민민,sw_ai_lab,student,major_biology_grade_4,88,gh_0000106,interview_wait,2026_spring
107,jungle0000107@apply.kr,010-0000-0107,조민민,game_lab,student,major_biology_grade_4,48,none,rejected,2026_spring
108,jungle0000108@apply.kr,010-0000-0108,윤민민,game_tech_lab,student,major_biology_grade_4,74,gh_0000108,final_wait,2026_spring
109,jungle0000109@apply.kr,010-0000-0109,장민민,sw_ai_lab,student,major_cs_grade_4,100,gh_0000109,final_pass,2026_spring
110,jungle0000110@apply.kr,010-0000-0110,임민민,game_lab,student,major_cs_grade_4,60,gh_0000110,submitted,2026_spring
111,jungle0000111@apply.kr,010-0000-0111,한민민,game_tech_lab,student,major_cs_grade_4,86,gh_0000111,interview_wait,2026_spring
112,jungle0000112@apply.kr,010-0000-0112,오민민,sw_ai_lab,student,major_software_grade_4,46,gh_0000112,rejected,2026_spring
113,jungle0000113@apply.kr,010-0000-0113,서민민,game_lab,student,major_software_grade_1,72,gh_0000113,withdrawn,2026_spring
114,jungle0000114@apply.kr,010-0000-0114,신민민,game_tech_lab,student,major_software_grade_1,98,none,final_pass,2026_spring
115,jungle0000115@apply.kr,010-0000-0115,권민민,sw_ai_lab,student,major_ai_grade_1,58,gh_0000115,submitted,2026_spring
116,jungle0000116@apply.kr,010-0000-0116,황민민,game_lab,student,major_ai_grade_1,84,gh_0000116,interview_wait,2026_spring
117,jungle0000117@apply.kr,010-0000-0117,안민민,game_tech_lab,student,major_ai_grade_1,44,none,rejected,2026_spring
118,jungle0000118@apply.kr,010-0000-0118,송민민,sw_ai_lab,student,major_game_grade_1,70,gh_0000118,pretest_pass,2026_spring
119,jungle0000119@apply.kr,010-0000-0119,전민민,game_lab,student,major_game_grade_1,96,gh_0000119,final_wait,2026_spring
120,jungle0000120@apply.kr,010-0000-0120,홍민민,game_tech_lab,student,major_game_grade_2,56,gh_0000120,submitted,2026_spring
121,jungle0000121@apply.kr,010-0000-0121,김민아,sw_ai_lab,student,major_math_grade_2,82,none,interview_wait,2026_spring
122,jungle0000122@apply.kr,010-0000-0122,이민아,game_lab,student,major_math_grade_2,42,gh_0000122,rejected,2026_spring
123,jungle0000123@apply.kr,010-0000-0123,박민아,game_tech_lab,student,major_math_grade_2,68,gh_0000123,final_wait,2026_spring
124,jungle0000124@apply.kr,010-0000-0124,최민아,sw_ai_lab,student,major_physics_grade_2,94,none,final_wait,2026_spring
125,jungle0000125@apply.kr,010-0000-0125,정민아,game_lab,student,major_physics_grade_2,54,gh_0000125,final_wait,2026_spring
126,jungle0000126@apply.kr,010-0000-0126,강민아,game_tech_lab,student,major_physics_grade_2,80,gh_0000126,interview_wait,2026_spring
127,jungle0000127@apply.kr,010-0000-0127,조민아,sw_ai_lab,student,major_stats_grade_3,40,gh_0000127,rejected,2026_spring
128,jungle0000128@apply.kr,010-0000-0128,윤민아,game_lab,student,major_stats_grade_3,66,gh_0000128,pretest_pass,2026_spring
129,jungle0000129@apply.kr,010-0000-0129,장민아,game_tech_lab,student,major_stats_grade_3,92,gh_0000129,final_wait,2026_spring
130,jungle0000130@apply.kr,010-0000-0130,임민아,sw_ai_lab,student,major_design_grade_3,52,gh_0000130,submitted,2026_spring
131,jungle0000131@apply.kr,010-0000-0131,한민아,game_lab,student,major_design_grade_3,78,none,pretest_pass,2026_spring
132,jungle0000132@apply.kr,010-0000-0132,오민아,game_tech_lab,student,major_design_grade_3,38,gh_0000132,rejected,2026_spring
133,jungle0000133@apply.kr,010-0000-0133,서민아,sw_ai_lab,student,major_ee_grade_3,64,gh_0000133,submitted,2026_spring
134,jungle0000134@apply.kr,010-0000-0134,신민아,game_lab,student,major_ee_grade_4,90,gh_0000134,final_wait,2026_spring
135,jungle0000135@apply.kr,010-0000-0135,권민아,game_tech_lab,student,major_ee_grade_4,50,gh_0000135,submitted,2026_spring
136,jungle0000136@apply.kr,010-0000-0136,황민아,sw_ai_lab,student,major_business_grade_4,76,gh_0000136,pretest_pass,2026_spring
137,jungle0000137@apply.kr,010-0000-0137,안민아,game_lab,student,major_business_grade_4,36,gh_0000137,rejected,2026_spring
138,jungle0000138@apply.kr,010-0000-0138,송민아,game_tech_lab,student,major_business_grade_4,62,none,submitted,2026_spring
139,jungle0000139@apply.kr,010-0000-0139,전민아,sw_ai_lab,student,major_english_grade_4,88,gh_0000139,interview_wait,2026_spring
140,jungle0000140@apply.kr,010-0000-0140,홍민아,game_lab,student,major_english_grade_4,48,gh_0000140,rejected,2026_spring
141,jungle0000141@apply.kr,010-0000-0141,김민우,game_tech_lab,student,major_english_grade_1,74,gh_0000141,final_wait,2026_spring
142,jungle0000142@apply.kr,010-0000-0142,이민우,sw_ai_lab,student,major_biology_grade_1,100,gh_0000142,final_pass,2026_spring
143,jungle0000143@apply.kr,010-0000-0143,박민우,game_lab,student,major_biology_grade_1,60,gh_0000143,submitted,2026_spring
144,jungle0000144@apply.kr,010-0000-0144,최민우,game_tech_lab,student,major_biology_grade_1,86,gh_0000144,interview_wait,2026_spring
145,jungle0000145@apply.kr,010-0000-0145,정민우,sw_ai_lab,student,major_cs_grade_1,46,none,rejected,2026_spring
146,jungle0000146@apply.kr,010-0000-0146,강민우,game_lab,student,major_cs_grade_1,72,gh_0000146,pretest_pass,2026_spring
147,jungle0000147@apply.kr,010-0000-0147,조민우,game_tech_lab,student,major_cs_grade_1,98,gh_0000147,final_pass,2026_spring
148,jungle0000148@apply.kr,010-0000-0148,윤민우,sw_ai_lab,student,major_software_grade_2,58,gh_0000148,submitted,2026_spring
